predictor,permutation,shap_mean_abs_overall,shap_Near_Field_Hotspot,shap_Slow_Decay,shap_Standard_Decay
initial_dose_rate,0.337228004055829,0.183027679001121,0.120623203409503,0.184305798223549,0.244154035370312
cs137_dep_kbqm2,0.111149440213865,0.0569196816563021,0.0691026669785767,0.0267055100550771,0.0749508679352525
dist_fdnpp_km,0.0937592738573945,0.0351894271702704,0.0247768237769536,0.0355740656658841,0.0452173920679734
plume_axis_dev_deg,0.0694623294623993,0.0202424401160939,0.00946306753065727,0.0222415121768533,0.0290227406407711
elev_m,0.0495936772033004,0.0138454825526231,0.00801947193813738,0.0143585536004349,0.0191584221192971
dist_river_m,0.0252961818879057,0.0112384812025993,0.00529236851637669,0.0121607049544105,0.0162623701370106
decon_ordinal,0.0242487006824655,0.0157284882543971,0.021046463374123,0.00821158223097375,0.0179274191580946
slope_deg,0.0228598459040535,0.0107123247116408,0.00690982436157057,0.0103775450119542,0.0148496047613977
clay_pct,0.0166720880539271,0.00735138546401499,0.00327705634043489,0.00777479655101273,0.0110023035005973
landuse_macro,0.0115492185770561,0.0111819249041073,0.0104790140386833,0.0108053999442201,0.0122613607294185
cs137_missing,0.00990643652647147,0.00472626439103438,0.00167920755635237,0.00629581004570852,0.00620377557104224
